full name,Brand,year,Average urban consumption (L/100km),Average extra-urban consumption (L/100km),Average mixed consumption (L/100km),Average emission of CO2,Average emission of CO type I
Ford Fiesta Sedan 2012,Ford,2012,"4,9","3,6","4,1",107,"0,421"
FIAT 500 Convertible 2012,FIAT,2012,"5,725","4,175","4,775",111,"0,318"
Chevrolet Corvette ZR1 2012,Chevrolet,2012,19,"8,9","12,6",293,"0,508"
Lamborghini Gallardo LP 570-4 Superleggera 2012,Lamborghini,2012,"21,40666667","9,86","14,08666667","337,1333333",0
Honda Accord Coupe 2012,Honda,2012,"6,9","4,5","5,4",141,"0,215"
Volvo C30 Hatchback 2012,Volvo,2012,"6,8","4,2","5,1",134,"0,273"
BMW 1 Series Convertible 2012,BMW,2012,"9,766666667","5,666666667","7,166666667","169,1666667","0,274166667"
Lamborghini Aventador Coupe 2012,Lamborghini,2012,"27,3","11,3","17,2",398,"0,87"
Suzuki SX4 Sedan 2012,Suzuki,2012,"6,6","4,7","5,3",139,"0,192"
Hyundai Genesis Sedan 2012,Hyundai,2012,"6,679487179","4,674358974","5,405128205","136,5384615","0,279333333"
Chevrolet Silverado 1500 Extended Cab 2012,Chevrolet,2012,"12,09333333","6,46","8,373913043","201,7173913","0,510543478"
Ford F-150 Regular Cab 2007,Ford,2007,"8,654782609","5,265652174","6,506956522","164,1956522",0
Hyundai Azera Sedan 2012,Hyundai,2012,"6,679487179","4,674358974","5,405128205","136,5384615","0,279333333"
Chrysler Crossfire Convertible 2008,Chrysler,2008,"12,896875","7,2875","9,340625","233,5",0
Lamborghini Reventon Coupe 2008,Lamborghini,2008,"28,15901639","13,40983607","18,82786885","441,7213115",0
Hyundai Veracruz SUV 2012,Hyundai,2012,"6,679487179","4,674358974","5,405128205","136,5384615","0,279333333"
Suzuki Aerio Sedan 2007,Suzuki,2007,"8,383333333","5,693333333","6,67","165,1666667",0
Ford F-450 Super Duty Crew Cab 2012,Ford,2012,"8,042123288","5,542123288","6,473972603","162,5890411","0,391407534"
Chrysler PT Cruiser Convertible 2008,Chrysler,2008,"12,896875","7,2875","9,340625","233,5",0
Ford Ranger SuperCab 2011,Ford,2011,"8,301456311","5,408737864","6,475728155","161,1067961",0
Volkswagen Beetle Hatchback 2012,Volkswagen,2012,"8,095652174","5,491638796","6,440802676","162,8896321","0,232979933"
Infiniti G Coupe IPL 2012,Infiniti,2012,"14,76153846","7,973076923","10,45","248,7692308","0,225"
Hyundai Sonata Hybrid Sedan 2012,Hyundai,2012,"6,679487179","4,674358974","5,405128205","136,5384615","0,279333333"
Jeep Wrangler SUV 2012,Jeep,2012,"11,89714286","7,742857143","9,265714286","228,4","0,264057143"
Chevrolet TrailBlazer SS 2009,Chevrolet,2009,"8,778571429","5,6","6,771428571","161,5714286",0
Dodge Durango SUV 2007,Dodge,2007,"12,74814815","7,348148148","9,32962963","232,6296296",0
Volvo XC90 SUV 2007,Volvo,2007,"12,25271967","6,654811715","8,707949791","212,539749",0
Ford Mustang Convertible 2007,Ford,2007,"8,654782609","5,265652174","6,506956522","164,1956522",0
Bentley Continental GT Coupe 2007,Bentley,2007,"27,64444444","13,12222222","18,43333333","440,5555556",0
Suzuki Kizashi Sedan 2012,Suzuki,2012,"6,632432432","4,667567568","5,391891892","131,6486486","0,400702703"
Audi TTS Coupe 2012,Audi,2012,"7,906360424","5,305300353","6,26254417","153,5335689","0,298187279"
Chevrolet Camaro Convertible 2012,Chevrolet,2012,"12,09333333","6,46","8,373913043","201,7173913","0,510543478"
Ford Freestar Minivan 2007,Ford,2007,"8,654782609","5,265652174","6,506956522","164,1956522",0
Mitsubishi Lancer Sedan 2012,Mitsubishi,2012,"7,646153846","5,384615385","6,192307692","158,5384615","0,281538462"
BMW 3 Series Wagon 2012,BMW,2012,"9,103926702","5,693193717","6,947643979","169,8167539","0,253649215"
BMW 1 Series Coupe 2012,BMW,2012,"9,103926702","5,693193717","6,947643979","169,8167539","0,253649215"
Jaguar XK XKR 2012,Jaguar,2012,"15,76","7,645","10,535","254,4","0,4586"
Ford E-Series Wagon Van 2012,Ford,2012,"8,042123288","5,542123288","6,473972603","162,5890411","0,391407534"
Chevrolet Express Van 2007,Chevrolet,2007,"10,37052632","6,202105263","7,748421053","190,6631579",0
Hyundai Sonata Sedan 2012,Hyundai,2012,"6,679487179","4,674358974","5,405128205","136,5384615","0,279333333"
Ford GT Coupe 2006,Ford,2006,"8,915533981","5,404368932","6,691262136","169,0728155",0
Chevrolet Cobalt SS 2010,Chevrolet,2010,"8,192307692","5,342307692","6,4","150,6153846",0
Toyota Camry Sedan 2012,Toyota,2012,"6,314285714","4,574789916","5,214285714","129,1428571","0,235806723"
BMW M5 Sedan 2010,BMW,2010,"10,32579505","6,0204947","7,599293286","185,8833922",0
Maybach Landaulet Convertible 2012,Maybach,2012,"23,06153846","10,97692308","15,36923077","358,3076923",0
Jeep Grand Cherokee SUV 2012,Jeep,2012,"11,89714286","7,742857143","9,265714286","228,4","0,264057143"
Ford Expedition EL SUV 2009,Ford,2009,"8,504405286","5,189427313","6,407048458","161,3480176",0
Chevrolet Malibu Sedan 2007,Chevrolet,2007,"10,37052632","6,202105263","7,748421053","190,6631579",0
Audi S4 Sedan 2007,Audi,2007,"12,14043956","6,751868132","8,71010989","220,6021978",0
BMW ActiveHybrid 5 Sedan 2012,BMW,2012,"9,103926702","5,693193717","6,947643979","169,8167539","0,253649215"
Toyota Sequoia SUV 2012,Toyota,2012,"6,314285714","4,574789916","5,214285714","129,1428571","0,235806723"
Ford Focus Sedan 2007,Ford,2007,"8,654782609","5,265652174","6,506956522","164,1956522",0
BMW X6 SUV 2012,BMW,2012,"9,103926702","5,693193717","6,947643979","169,8167539","0,253649215"
Chevrolet Silverado 1500 Classic Extended Cab 2007,Chevrolet,2007,"10,37052632","6,202105263","7,748421053","190,6631579",0
Chrysler 300 SRT-8 2010,Chrysler,2010,"12,56666667","7,1","9,1","232,75",0
Audi S5 Convertible 2012,Audi,2012,"7,906360424","5,305300353","6,26254417","153,5335689","0,298187279"
Toyota Corolla Sedan 2012,Toyota,2012,"6,314285714","4,574789916","5,214285714","129,1428571","0,235806723"
Audi TT RS Coupe 2012,Audi,2012,"7,906360424","5,305300353","6,26254417","153,5335689","0,298187279"
Porsche Panamera Sedan 2012,Porsche,2012,"14,41641791","7,535820896","10,14179104","239,4029851","0,260402985"
Chevrolet HHR SS 2010,Chevrolet,2010,"8,192307692","5,342307692","6,4","150,6153846",0
Cadillac SRX SUV 2012,Cadillac,2012,"17,70909091","9,159090909","12,27272727","286,9090909","0,423363636"
Audi A5 Coupe 2012,Audi,2012,"7,906360424","5,305300353","6,26254417","153,5335689","0,298187279"
Audi S5 Coupe 2012,Audi,2012,"7,906360424","5,305300353","6,26254417","153,5335689","0,298187279"
Dodge Magnum Wagon 2008,Dodge,2008,"9,99375","6,25625","7,6125","196,5",0
Infiniti QX56 SUV 2011,Infiniti,2011,"14,76923077","7,976923077","10,45384615","248,8846154",0
Honda Odyssey Minivan 2012,Honda,2012,"7,292857143","4,897619048","5,778571429","141,6666667","0,248"
Nissan Leaf Hatchback 2012,Nissan,2012,"8,974786325","6,252991453","7,241880342","185,7051282","0,269495726"
Dodge Caliber Wagon 2007,Dodge,2007,"12,74814815","7,348148148","9,32962963","232,6296296",0
Jeep Liberty SUV 2012,Jeep,2012,"11,89714286","7,742857143","9,265714286","228,4","0,264057143"
Aston Martin Virage Convertible 2012,Aston Martin,2012,"21,54264706","10,33970588","14,45882353","339,25","0,487558824"
Aston Martin Virage Coupe 2012,Aston Martin,2012,"21,54264706","10,33970588","14,45882353","339,25","0,487558824"
Aston Martin V8 Vantage Coupe 2012,Aston Martin,2012,"21,54264706","10,33970588","14,45882353","339,25","0,487558824"
Aston Martin V8 Vantage Convertible 2012,Aston Martin,2012,"21,54264706","10,33970588","14,45882353","339,25","0,487558824"
Ferrari 458 Italia Coupe 2012,Ferrari 458,2013,"18,4","9,6","12,8","296,3333333","0,427666667"
Ferrari 458 Italia Convertible 2012,Ferrari 458,2013,"18,4","9,6","12,8","296,3333333","0,427666667"
Acura TL Type-S 2008,Acura,2008,,,,223,
Acura ZDX Hatchback 2012,Acura,2012,,,,225,
AM General Hummer SUV 2000,AM,2000,,,,650,
Audi V8 Sedan 1994,Audi,1994,,,,350,
Audi 100 Wagon 1994,Audi,1994,,,,300,
Audi 100 Sedan 1994,Audi,1994,,,,300,
Buick Regal GS 2012,Buick,2012,,,,225,
Buick Rainier SUV 2007,Buick,2007,,,,300,
Dodge Caliber Wagon 2012,Dodge,2012,,,,225,
Dodge Charger Sedan 2012,Dodge,2012,,,,225,
Eagle Talon Hatchback 1998,Eagle,1998,,,,300,
Fisker Karma Sedan 2012,Fisker,2012,,,,51,
GMC Yukon Hybrid SUV 2012,GMC,2012,,,,275,
HUMMER H3T Crew Cab 2010,HUMMER,2010,,,,400,
Land Rover LR2 SUV 2012,Land,2012,,,,300,
Mercedes-Benz SL-Class Coupe 2009,Mercedes-Benz,2009,,,,283.6,
Mercedes-Benz Sprinter Van 2012,Mercedes-Benz,2012,,,,183,
Mercedes-Benz 300-Class Convertible 1993,Mercedes-Benz,1993,,,,275,
Plymouth Neon Coupe 1999,Plymouth,1999,,,,300,
Rolls-Royce Ghost Sedan 2012,Rolls-Royce,2012,,,,350,
Rolls-Royce Phantom Sedan 2012,Rolls-Royce,2012,,,,450,
Rolls-Royce Phantom Drophead Coupe Convertible 2012,Rolls-Royce,2012,,,,450,
Scion xD Hatchback 2012,Scion,2012,,,,225,
Spyker C8 Coupe 2009,Spyker,2009,,,,375,
Volvo 240 Sedan 1993,Volvo,1993,,,,350,
