im_name,x_min,y_min,x_max,y_max,class,models
107347968.jpg,40,244,1144,637,1,Audi S5 Convertible 2012
91160576.jpg,4,9,98,76,1,Audi 100 Wagon 1994
273809408.jpg,16,4,288,191,1,Cadillac SRX SUV 2012
579534848.jpg,14,23,255,178,1,Ford Freestar Minivan 2007
950599680.jpg,4,70,321,215,1,Rolls-Royce Phantom Sedan 2012
73465856.jpg,47,38,388,213,1,Audi TTS Coupe 2012
136052736.jpg,38,43,607,359,1,BMW ActiveHybrid 5 Sedan 2012
421593088.jpg,142,289,1873,1191,1,Chrysler 300 SRT-8 2010
93716480.jpg,3,84,275,192,1,Audi 100 Wagon 1994
490930176.jpg,52,89,424,269,1,Dodge Magnum Wagon 2008
834732032.jpg,42,122,1242,821,1,Land Rover LR2 SUV 2012
597426176.jpg,80,191,948,623,1,Ford GT Coupe 2006
65470464.jpg,15,60,242,175,1,Audi A5 Coupe 2012
46268416.jpg,21,103,1183,659,1,Aston Martin V8 Vantage Coupe 2012
622592000.jpg,18,44,250,138,1,Ford E-Series Wagon Van 2012
512163840.jpg,95,22,499,216,1,Dodge Charger Sedan 2012
772800512.jpg,30,56,681,293,1,Jaguar XK XKR 2012
40894464.jpg,11,55,248,182,1,Aston Martin V8 Vantage Convertible 2012
370475008.jpg,11,45,254,157,1,Chevrolet Silverado 1500 Classic Extended Cab 2007
54591488.jpg,80,164,678,389,1,Aston Martin Virage Coupe 2012
93061120.jpg,1,9,141,63,1,Audi 100 Wagon 1994
433455104.jpg,9,27,453,234,1,Chrysler PT Cruiser Convertible 2008
720568320.jpg,197,228,786,592,1,Hyundai Veracruz SUV 2012
863174656.jpg,5,78,257,169,1,Mercedes-Benz 300-Class Convertible 1993
17498112.jpg,78,153,594,421,1,Acura TL Type-S 2008
370868224.jpg,2,41,254,186,1,Chevrolet Silverado 1500 Classic Extended Cab 2007
946995200.jpg,16,89,624,406,1,Rolls-Royce Ghost Sedan 2012
568524800.jpg,20,102,376,225,1,Ford Mustang Convertible 2007
836763648.jpg,396,186,748,552,1,Land Rover LR2 SUV 2012
551223296.jpg,7,84,1019,640,1,Ferrari 458 Italia Convertible 2012
274530304.jpg,17,29,274,198,1,Cadillac SRX SUV 2012
764870656.jpg,15,87,324,202,1,Infiniti QX56 SUV 2011
357367808.jpg,26,26,494,286,1,Chevrolet TrailBlazer SS 2009
875495424.jpg,105,412,1163,816,1,Mercedes-Benz SL-Class Coupe 2009
795410432.jpg,126,80,588,326,1,Jeep Grand Cherokee SUV 2012
867500032.jpg,151,112,964,447,1,Mercedes-Benz 300-Class Convertible 1993
384499712.jpg,53,79,627,464,1,Chevrolet Malibu Sedan 2007
899022848.jpg,53,105,892,604,1,Mitsubishi Lancer Sedan 2012
392364032.jpg,18,95,1022,456,1,Chevrolet Silverado 1500 Extended Cab 2012
596180992.jpg,6,46,252,134,1,Ford Ranger SuperCab 2011
172032000.jpg,31,31,561,324,1,BMW X6 SUV 2012
142082048.jpg,62,127,732,442,1,BMW 1 Series Convertible 2012
296681472.jpg,31,95,456,326,1,Chevrolet Corvette ZR1 2012
902103040.jpg,54,181,417,344,1,Nissan Leaf Hatchback 2012
554696704.jpg,26,10,276,169,1,Ferrari 458 Italia Coupe 2012
66387968.jpg,21,39,238,160,1,Audi A5 Coupe 2012
596967424.jpg,72,114,1019,692,1,Ford GT Coupe 2006
547094528.jpg,187,205,545,369,1,Ferrari 458 Italia Convertible 2012
741605376.jpg,95,86,900,599,1,Hyundai Sonata Sedan 2012
575602688.jpg,31,55,216,132,1,Ford Freestar Minivan 2007
443678720.jpg,11,34,300,191,1,Dodge Caliber Wagon 2012
226426880.jpg,144,43,630,410,1,Bentley Continental GT Coupe 2007
893386752.jpg,75,80,559,443,1,Mercedes-Benz Sprinter Van 2012
549453824.jpg,29,76,627,313,1,Ferrari 458 Italia Convertible 2012
904658944.jpg,16,100,590,329,1,Nissan Leaf Hatchback 2012
